x,y,predicted_stage,stage_name,num_observations
4,10,0,bbch_00,1
6,10,1,bbch_10,1
5,10,0,bbch_00,1
7,10,6,bbch_99,1
9,10,6,bbch_99,1
8,10,6,bbch_99,1
11,10,3,bbch_51,1
10,10,3,bbch_51,1
12,10,3,bbch_51,1
14,10,3,bbch_51,1
13,10,3,bbch_51,1
16,10,3,bbch_51,1
15,10,3,bbch_51,1
17,10,3,bbch_51,1
18,10,3,bbch_51,1
19,10,1,bbch_10,1
20,10,2,bbch_31,1
22,10,0,bbch_00,1
24,10,3,bbch_51,1
21,10,0,bbch_00,1
23,10,0,bbch_00,1
25,10,3,bbch_51,1
27,10,3,bbch_51,1
26,10,3,bbch_51,1
28,10,3,bbch_51,1
29,10,3,bbch_51,1
31,10,3,bbch_51,1
30,10,3,bbch_51,1
32,10,3,bbch_51,1
33,10,3,bbch_51,1
34,10,3,bbch_51,1
35,10,3,bbch_51,1
36,10,3,bbch_51,1
37,10,3,bbch_51,1
38,10,3,bbch_51,1
39,10,3,bbch_51,1
40,10,0,bbch_00,1
41,10,0,bbch_00,1
42,10,6,bbch_99,1
43,10,0,bbch_00,1
46,10,3,bbch_51,1
44,10,2,bbch_31,1
45,10,6,bbch_99,1
0,11,0,bbch_00,1
47,10,3,bbch_51,1
1,11,0,bbch_00,1
2,11,0,bbch_00,1
3,11,0,bbch_00,1
4,11,3,bbch_51,1
7,11,3,bbch_51,1
6,11,3,bbch_51,1
5,11,3,bbch_51,1
9,11,3,bbch_51,1
8,11,3,bbch_51,1
10,11,3,bbch_51,1
11,11,3,bbch_51,1
12,11,3,bbch_51,1
13,11,4,bbch_75,1
16,11,3,bbch_51,1
14,11,3,bbch_51,1
15,11,3,bbch_51,1
17,11,3,bbch_51,1
18,11,3,bbch_51,1
20,11,2,bbch_31,1
19,11,3,bbch_51,1
21,11,0,bbch_00,1
22,11,0,bbch_00,1
23,11,0,bbch_00,1
24,11,3,bbch_51,1
26,11,3,bbch_51,1
25,11,3,bbch_51,1
28,11,3,bbch_51,1
27,11,3,bbch_51,1
29,11,3,bbch_51,1
31,11,3,bbch_51,1
30,11,3,bbch_51,1
32,11,3,bbch_51,1
33,11,3,bbch_51,1
34,11,3,bbch_51,1
35,11,3,bbch_51,1
36,11,3,bbch_51,1
37,11,3,bbch_51,1
38,11,0,bbch_00,1
39,11,0,bbch_00,1
41,11,0,bbch_00,1
40,11,0,bbch_00,1
42,11,6,bbch_99,1
43,11,0,bbch_00,1
44,11,0,bbch_00,1
46,11,3,bbch_51,1
45,11,6,bbch_99,1
47,11,3,bbch_51,1
0,12,0,bbch_00,1
2,12,0,bbch_00,1
1,12,0,bbch_00,1
4,12,3,bbch_51,1
3,12,6,bbch_99,1
5,12,3,bbch_51,1
7,12,3,bbch_51,1
6,12,3,bbch_51,1
9,12,3,bbch_51,1
8,12,3,bbch_51,1
10,12,3,bbch_51,1
11,12,3,bbch_51,1
12,12,3,bbch_51,1
13,12,4,bbch_75,1
14,12,3,bbch_51,1
15,12,3,bbch_51,1
16,12,3,bbch_51,1
19,12,3,bbch_51,1
20,12,0,bbch_00,1
17,12,3,bbch_51,1
18,12,3,bbch_51,1
22,12,0,bbch_00,1
21,12,0,bbch_00,1
23,12,0,bbch_00,1
24,12,3,bbch_51,1
28,12,3,bbch_51,1
25,12,3,bbch_51,1
26,12,3,bbch_51,1
27,12,3,bbch_51,1
29,12,3,bbch_51,1
31,12,3,bbch_51,1
30,12,3,bbch_51,1
32,12,3,bbch_51,1
33,12,3,bbch_51,1
34,12,3,bbch_51,1
35,12,3,bbch_51,1
37,12,0,bbch_00,1
36,12,3,bbch_51,1
39,12,0,bbch_00,1
38,12,0,bbch_00,1
40,12,0,bbch_00,1
41,12,0,bbch_00,1
42,12,0,bbch_00,1
44,12,0,bbch_00,1
43,12,0,bbch_00,1
45,12,6,bbch_99,1
47,12,3,bbch_51,1
46,12,3,bbch_51,1
0,13,0,bbch_00,1
2,13,3,bbch_51,1
3,13,3,bbch_51,1
1,13,0,bbch_00,1
4,13,3,bbch_51,1
7,13,3,bbch_51,1
5,13,3,bbch_51,1
6,13,3,bbch_51,1
8,13,3,bbch_51,1
9,13,3,bbch_51,1
10,13,3,bbch_51,1
11,13,3,bbch_51,1
12,13,3,bbch_51,1
13,13,3,bbch_51,1
14,13,3,bbch_51,1
16,13,3,bbch_51,1
15,13,3,bbch_51,1
18,13,3,bbch_51,1
17,13,3,bbch_51,1
19,13,3,bbch_51,1
21,13,3,bbch_51,1
20,13,0,bbch_00,1
22,13,0,bbch_00,1
23,13,0,bbch_00,1
24,13,3,bbch_51,1
26,13,3,bbch_51,1
25,13,3,bbch_51,1
28,13,3,bbch_51,1
29,13,3,bbch_51,1
27,13,3,bbch_51,1
30,13,3,bbch_51,1
31,13,3,bbch_51,1
33,13,3,bbch_51,1
32,13,3,bbch_51,1
34,13,3,bbch_51,1
35,13,3,bbch_51,1
36,13,0,bbch_00,1
38,13,0,bbch_00,1
37,13,0,bbch_00,1
40,13,0,bbch_00,1
39,13,0,bbch_00,1
41,13,0,bbch_00,1
43,13,0,bbch_00,1
42,13,0,bbch_00,1
44,13,0,bbch_00,1
45,13,6,bbch_99,1
47,13,3,bbch_51,1
46,13,3,bbch_51,1
0,14,2,bbch_31,1
1,14,0,bbch_00,1
2,14,3,bbch_51,1
3,14,3,bbch_51,1
5,14,3,bbch_51,1
4,14,3,bbch_51,1
6,14,3,bbch_51,1
8,14,3,bbch_51,1
7,14,3,bbch_51,1
9,14,3,bbch_51,1
11,14,3,bbch_51,1
10,14,3,bbch_51,1
12,14,3,bbch_51,1
13,14,3,bbch_51,1
14,14,3,bbch_51,1
15,14,3,bbch_51,1
16,14,3,bbch_51,1
19,14,3,bbch_51,1
17,14,3,bbch_51,1
18,14,3,bbch_51,1
20,14,3,bbch_51,1
21,14,3,bbch_51,1
22,14,0,bbch_00,1
23,14,0,bbch_00,1
24,14,3,bbch_51,1
25,14,3,bbch_51,1
26,14,3,bbch_51,1
27,14,3,bbch_51,1
28,14,3,bbch_51,1
29,14,3,bbch_51,1
30,14,3,bbch_51,1
31,14,3,bbch_51,1
33,14,3,bbch_51,1
32,14,3,bbch_51,1
34,14,3,bbch_51,1
35,14,3,bbch_51,1
36,14,0,bbch_00,1
37,14,0,bbch_00,1
38,14,0,bbch_00,1
40,14,0,bbch_00,1
41,14,0,bbch_00,1
39,14,0,bbch_00,1
43,14,0,bbch_00,1
42,14,0,bbch_00,1
45,14,6,bbch_99,1
44,14,0,bbch_00,1
46,14,3,bbch_51,1
47,14,3,bbch_51,1
2,15,3,bbch_51,1
3,15,6,bbch_99,1
1,15,0,bbch_00,1
0,15,2,bbch_31,1
4,15,3,bbch_51,1
7,15,3,bbch_51,1
5,15,3,bbch_51,1
6,15,3,bbch_51,1
9,15,3,bbch_51,1
8,15,3,bbch_51,1
10,15,3,bbch_51,1
11,15,3,bbch_51,1
12,15,3,bbch_51,1
13,15,3,bbch_51,1
14,15,3,bbch_51,1
15,15,3,bbch_51,1
17,15,3,bbch_51,1
18,15,3,bbch_51,1
16,15,3,bbch_51,1
20,15,0,bbch_00,1
21,15,0,bbch_00,1
19,15,3,bbch_51,1
22,15,0,bbch_00,1
23,15,0,bbch_00,1
25,15,0,bbch_00,1
24,15,0,bbch_00,1
27,15,0,bbch_00,1
26,15,0,bbch_00,1
28,15,0,bbch_00,1
29,15,0,bbch_00,1
31,15,0,bbch_00,1
30,15,0,bbch_00,1
32,15,0,bbch_00,1
33,15,0,bbch_00,1
34,15,3,bbch_51,1
35,15,1,bbch_10,1
36,15,0,bbch_00,1
38,15,0,bbch_00,1
37,15,0,bbch_00,1
39,15,0,bbch_00,1
40,15,0,bbch_00,1
41,15,0,bbch_00,1
42,15,0,bbch_00,1
43,15,0,bbch_00,1
44,15,1,bbch_10,1
46,15,3,bbch_51,1
45,15,6,bbch_99,1
47,15,3,bbch_51,1
0,16,2,bbch_31,1
1,16,0,bbch_00,1
2,16,3,bbch_51,1
3,16,0,bbch_00,1
5,16,3,bbch_51,1
4,16,3,bbch_51,1
6,16,3,bbch_51,1
7,16,3,bbch_51,1
10,16,3,bbch_51,1
9,16,3,bbch_51,1
8,16,3,bbch_51,1
11,16,3,bbch_51,1
12,16,3,bbch_51,1
15,16,3,bbch_51,1
13,16,3,bbch_51,1
14,16,3,bbch_51,1
16,16,3,bbch_51,1
17,16,3,bbch_51,1
19,16,3,bbch_51,1
18,16,3,bbch_51,1
22,16,0,bbch_00,1
20,16,3,bbch_51,1
23,16,0,bbch_00,1
21,16,0,bbch_00,1
24,16,0,bbch_00,1
26,16,0,bbch_00,1
25,16,0,bbch_00,1
27,16,0,bbch_00,1
28,16,0,bbch_00,1
30,16,0,bbch_00,1
29,16,0,bbch_00,1
32,16,6,bbch_99,1
31,16,0,bbch_00,1
33,16,6,bbch_99,1
35,16,2,bbch_31,1
34,16,1,bbch_10,1
37,16,0,bbch_00,1
36,16,0,bbch_00,1
38,16,0,bbch_00,1
39,16,0,bbch_00,1
40,16,0,bbch_00,1
42,16,0,bbch_00,1
41,16,0,bbch_00,1
43,16,0,bbch_00,1
44,16,0,bbch_00,1
45,16,0,bbch_00,1
47,16,3,bbch_51,1
46,16,3,bbch_51,1
1,17,2,bbch_31,1
0,17,2,bbch_31,1
3,17,0,bbch_00,1
2,17,3,bbch_51,1
4,17,3,bbch_51,1
6,17,3,bbch_51,1
5,17,3,bbch_51,1
8,17,3,bbch_51,1
7,17,3,bbch_51,1
9,17,3,bbch_51,1
11,17,3,bbch_51,1
10,17,3,bbch_51,1
13,17,3,bbch_51,1
12,17,3,bbch_51,1
14,17,3,bbch_51,1
15,17,3,bbch_51,1
17,17,3,bbch_51,1
16,17,1,bbch_10,1
18,17,3,bbch_51,1
20,17,3,bbch_51,1
21,17,3,bbch_51,1
19,17,3,bbch_51,1
23,17,3,bbch_51,1
22,17,0,bbch_00,1
25,17,0,bbch_00,1
24,17,0,bbch_00,1
26,17,0,bbch_00,1
27,17,0,bbch_00,1
31,17,0,bbch_00,1
28,17,0,bbch_00,1
30,17,0,bbch_00,1
29,17,0,bbch_00,1
32,17,0,bbch_00,1
33,17,0,bbch_00,1
34,17,3,bbch_51,1
35,17,3,bbch_51,1
36,17,0,bbch_00,1
37,17,0,bbch_00,1
38,17,0,bbch_00,1
40,17,0,bbch_00,1
39,17,0,bbch_00,1
43,17,0,bbch_00,1
44,17,0,bbch_00,1
41,17,0,bbch_00,1
42,17,0,bbch_00,1
45,17,0,bbch_00,1
46,17,2,bbch_31,1
47,17,4,bbch_75,1
0,18,2,bbch_31,1
2,18,0,bbch_00,1
1,18,2,bbch_31,1
3,18,0,bbch_00,1
6,18,3,bbch_51,1
4,18,3,bbch_51,1
5,18,3,bbch_51,1
7,18,3,bbch_51,1
8,18,3,bbch_51,1
9,18,3,bbch_51,1
10,18,3,bbch_51,1
11,18,3,bbch_51,1
12,18,3,bbch_51,1
13,18,3,bbch_51,1
15,18,3,bbch_51,1
14,18,3,bbch_51,1
16,18,3,bbch_51,1
17,18,3,bbch_51,1
18,18,3,bbch_51,1
19,18,3,bbch_51,1
22,18,0,bbch_00,1
21,18,3,bbch_51,1
20,18,3,bbch_51,1
